Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
University Terrace,"University Terrace,Brooklyn, NYC",-73.9814937,40.6911208,Housing,Brooklyn,,1962,https://s-media-cache-ak0.pinimg.com/originals/68/bb/4f/68bb4f5c144cbd3e3d93e46edbed0d64.jpg,University Terrace    University TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity TerraceUniversity Terrace
Surfside Park,"Surfside Park,Queens, NYC",-73.8259222,40.5817789,Housing,Queens,,1962,https://www.emporis.com/images/show/158304-Large-exterior-view-from-the-sw.jpg,Surfside Park    Surfside ParkSurfside ParkSurfside ParkSurfside ParkSurfside ParkSurfside ParkSurfside ParkSurfside Park
Dayton Towers West,"Dayton Towers West,Queens, NYC",-73.8243307,40.5828132,Housing,Queens,,1964,https://upload.wikimedia.org/wikipedia/commons/3/32/Dayton_Towers_co-op_jeh.jpg,Dayton Towers West   Dayton Towers WestDayton Towers WestDayton Towers WestDayton Towers WestDayton Towers WestDayton Towers West
Dayton Beach Park,"Dayton Beach Park,Queens, NYC",-73.811187,40.585739,Housing,Queens,,1962,https://images1.apartments.com/i2/GjZsMdyq_WxJ8K7e1dmx-AeQgFboPJPGMPIWzW0xocY/117/dayton-beach-park-apartments-rockaway-beach-ny-building-photo.jpg,Dayton Beach Park   Dayton Beach ParkDayton Beach ParkDayton Beach ParkDayton Beach ParkDayton Beach ParkDayton Beach Park
Day Towers East,"Day Towers East,Queens, NYC",-73.8060776,40.5871753,Housing,Queens,,1964,https://images1.apartments.com/i2/WoPPW7qUvyVjjq8nU4gWR2a-rof8yCCQBLEQJtVx9vM/117/dayton-towers-arverne-ny-building-photo.jpg,Day Towers East    Day Towers EastDay Towers EastDay Towers EastDay Towers EastDay Towers EastDay Towers East
Lincoln Towers,"Lincoln Towers,Manhattan, NYC",-73.9868017,40.7772929,Housing,Manhattan,,1961,http://luxuryapartmentsnyc.com/wp-content/uploads/2015/02/Lincoln_Towers.jpg,Lincoln Towers  Lincoln Towers
Chatham Green,"Chatham Green,Manhattan, NYC",-73.9993575,40.7127421,Housing,Manhattan,,1959,http://andrewlmoore.com/assets/Chatham_Green.jpg,Chatham Green   Chatham GreenChatham GreenChatham GreenChatham GreenChatham GreenChatham GreenChatham GreenChatham GreenChatham Green
Penn Station South,"Penn Station South,Manhattan, NYC",-73.997595,40.746973,Housing,Manhattan,,1962,http://legacy.skyscrapercenter.com/class-image.php/userpics/10008/?width=1000&height=800&image=/images/albums/userpics/10008/PennStaS4a.jpg,Penn Station South    Penn Station SouthPenn Station SouthPenn Station SouthPenn Station SouthPenn Station SouthPenn Station SouthPenn Station SouthPenn Station South
Cadman Plaza North,"Cadman Plaza North,Brooklyn, NYC",-73.991314,40.700387,Housing,Brooklyn,,1967,https://images1.apartments.com/i2/c89TFDH0QPgXlDlMlPYY4b_wNcycVFsso2pKiuaLXVc/117/cadman-plaza-north-brooklyn-ny-building-photo.jpg,Cadman Plaza North    Cadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza NorthCadman Plaza North
Whitman Close Townhouses,"Whitman Close,Brooklyn, NYC",-73.991774,40.698984,Housing,Brooklyn,,1968,https://midcenturymundane.files.wordpress.com/2011/07/img_11531.jpg,Whitman Close Townhouses    Whitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close TownhousesWhitman Close Townhouses
Cadman Towers,"Cadman Towers,Brooklyn, NYC",-73.9926592,40.6975689,Housing,Brooklyn,,1973,https://static1.squarespace.com/static/526c8fcee4b0183a6963055f/t/5273b806e4b06fd9271d3c03/1383315467838/10+Clinton.png,Cadman Towers   Cadman TowersCadman TowersCadman TowersCadman TowersCadman TowersCadman TowersCadman TowersCadman TowersCadman TowersCadman Towers
Chatham Towers,"Chatham Towers,Manhattan, NYC",-74.0000629,40.7138364,Housing,Manhattan,,1963,http://cdn-img1.streeteasy.com/nyc/image/13/163828413.jpg,Chatham Towers   Chatham TowersChatham TowersChatham TowersChatham TowersChatham TowersChatham TowersChatham TowersChatham TowersChatham Towers
Co-op City,"Co-op City,Bronx, NYC",-73.8294444,40.8738889,Housing,Bronx,,1965,https://images1.apartments.com/i2/wlWIyixRskid1lTI0OSxZ6V5ol8QSju9OxuppMWyD6Q/117/riverbay-at-co-op-city-bronx-ny-building-photo.jpg,Co-op City    Co-op CityCo-op CityCo-op CityCo-op CityCo-op CityCo-op CityCo-op CityCo-op CityCo-op CityCo-op City
Amalgated Warbasse Houses,"Amalgated Warbasse Houses,Brooklyn, NYC",-73.9720309,40.5810165,Housing,Brooklyn,,1965,http://brooklynreporter.com/wp-content/uploads/2016/07/warbasse.jpg,Amalgated Warbasse Houses    Amalgated Warbasse HousesAmalgated Warbasse HousesAmalgated Warbasse HousesAmalgated Warbasse HousesAmalgated Warbasse HousesAmalgated Warbasse HousesAmalgated Warbasse Houses
